Date,Open,High,Low,Close,Volume,Adj Close,Change
2014-08-26,1998.59,2005.04,1998.59,2000.02,2451950000,2000.02,0.001051093
2014-08-25,1991.74,2001.95,1991.74,1997.92,2233880000,1997.92,0.004787769
2014-08-22,1992.6,1993.54,1984.76,1988.4,2301860000,1988.4,-0.001992602
2014-08-21,1986.82,1994.76,1986.82,1992.37,2638920000,1992.37,0.002949897
2014-08-20,1980.46,1988.57,1977.68,1986.51,2579380000,1986.51,0.002477796
2014-08-19,1972.73,1982.57,1972.73,1981.6,2656430000,1981.6,0.005000659
2014-08-18,1958.36,1971.99,1958.36,1971.74,2638160000,1971.74,0.008531707
2014-08-15,1958.87,1964.04,1941.5,1955.06,3023380000,1955.06,-6.13754E-05
2014-08-14,1947.41,1955.23,1947.41,1955.18,2609460000,1955.18,0.004345771
2014-08-13,1935.6,1948.41,1935.6,1946.72,2718020000,1946.72,0.006707175
2014-08-12,1935.73,1939.65,1928.29,1933.75,2611700000,1933.75,-0.001636619
2014-08-11,1933.43,1944.9,1933.43,1936.92,2784890000,1936.92,0.002759385
2014-08-08,1910.35,1932.38,1909.01,1931.59,2902280000,1931.59,0.011531392
2014-08-07,1923.03,1928.89,1904.78,1909.57,3230520000,1909.57,-0.005556597
2014-08-06,1917.29,1927.91,1911.45,1920.24,3539150000,1920.24,1.56233E-05
2014-08-05,1936.34,1936.34,1913.77,1920.21,3462520000,1920.21,-0.009685455
2014-08-04,1926.62,1942.92,1921.2,1938.99,3072920000,1938.99,0.00718905
2014-08-01,1929.8,1937.35,1916.37,1925.15,3789660000,1925.15,-0.002859111
2014-07-31,1965.14,1965.14,1930.67,1930.67,4193000000,1930.67,-0.019999289
2014-07-30,1973.21,1978.9,1962.42,1970.07,3448250000,1970.07,6.09153E-05
2014-07-29,1980.03,1984.85,1969.95,1969.95,3183300000,1969.95,-0.004527745
2014-07-28,1978.25,1981.52,1967.31,1978.91,2803320000,1978.91,0.00028812
2014-07-25,1984.6,1984.6,1974.37,1978.34,2638960000,1978.34,-0.004849143
2014-07-24,1988.07,1991.39,1985.79,1987.98,3203530000,1987.98,0.000488171
